Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
41 500 AZN,Kia,K5,2020,Boz,1.6 L / 180 a.g. / Benzin,59 000 km,Avtomat,Xeyr
41 500 AZN,Kia,Cerato,2023,Yaş Asfalt,1.6 L / 128 a.g. / Benzin,21 900 km,Avtomat,Xeyr
32 300 USD,Kia,Sorento,2021,Ağ,1.6 L / 230 a.g. / Hibrid,50 800 km,Avtomat,Xeyr
41 000 AZN,Kia,K5,2020,Qırmızı,1.6 L / 180 a.g. / Benzin,154 000 km,Avtomat,Xeyr
47 900 AZN,Kia,Sorento,2020,Ağ,2.2 L / 197 a.g. / Dizel,183 000 km,Avtomat,Xeyr
25 000 AZN,Kia,Forte,2019,Göy,2.0 L / 147 a.g. / Benzin,135 000 km,Variator,Xeyr
46 800 AZN,Kia,Seltos,2024,Ağ,1.5 L / 177 a.g. / Benzin,0 km,Avtomat,Bəli
41 000 USD,Kia,Sorento,2021,Boz,2.5 L / 180 a.g. / Benzin,21 000 km,Avtomat,Xeyr
31 500 AZN,Kia,Forte,2022,Göy,2.0 L / 147 a.g. / Benzin,45 728 km,Variator,Xeyr
28 900 AZN,Kia,Forte,2021,Ağ,2.0 L / 147 a.g. / Benzin,75 639 km,Variator,Xeyr
49 500 AZN,Kia,Sorento,2021,Ağ,2.2 L / 200 a.g. / Dizel,115 000 km,Avtomat,Xeyr
58 500 AZN,Kia,Carnival,2020,Ağ,2.2 L / 202 a.g. / Dizel,125 000 km,Avtomat,Xeyr
25 900 AZN,Kia,Forte,2021,Göy,2.0 L / 147 a.g. / Benzin,90 000 km,Variator,Xeyr
38 700 AZN,Kia,K5,2020,Boz,1.6 L / 180 a.g. / Benzin,123 000 km,Robot,Xeyr
72 100 AZN,Kia,K5,2024,Boz,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
40 200 AZN,Kia,Cerato,2023,Mavi,1.6 L / 130 a.g. / Benzin,0 km,Avtomat,Bəli
