Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
27 500 AZN,Hyundai,Elantra,2020,Ağ,2.0 L / 150 a.g. / Benzin,75 000 km,Avtomat,Xeyr
25 900 AZN,Hyundai,Elantra,2021,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,78 000 km,Avtomat,Xeyr
27 200 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,67 000 km,Avtomat,Xeyr
27 800 AZN,Hyundai,Elantra,2021,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,96 000 km,Avtomat,Xeyr
27 900 AZN,Hyundai,Elantra,2020,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,88 000 km,Avtomat,Xeyr
23 900 AZN,Hyundai,Elantra,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,33 807 km,Avtomat,Xeyr
22 900 USD,Hyundai,Sonata,2021,Göy,1.6 L / 183 a.g. / Benzin,45 625 km,Avtomat,Xeyr
33 900 USD,Hyundai,Grandeur,2021,Qara,2.5 L / 190 a.g. / Benzin,57 000 km,Avtomat,Xeyr
42 900 AZN,Hyundai,Santa Fe,2019,Ağ,2.0 L / 184 a.g. / Dizel,176 000 km,Avtomat,Xeyr
35 500 AZN,Hyundai,Elantra,2021,Ağ,1.6 L / 132 a.g. / Benzin,53 100 km,Avtomat,Xeyr
31 900 AZN,Hyundai,Elantra,2021,Qara,2.0 L / 158 a.g. / Benzin,35 000 km,Avtomat,Xeyr
24 500 AZN,Hyundai,Accent,2021,Qırmızı,1.6 L / 140 a.g. / Benzin,127 400 km,Avtomat,Xeyr
25 900 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,128 748 km,Avtomat,Xeyr
26 000 USD,Hyundai,Sonata,2020,Ağ,2.0 L / 195 a.g. / Hibrid,77 500 km,Avtomat,Xeyr
23 500 AZN,Hyundai,Accent,2019,Göy,1.6 L / 140 a.g. / Benzin,88 000 km,Avtomat,Xeyr
29 500 AZN,Hyundai,Elantra,2020,Ağ,1.6 L / 132 a.g. / Benzin,71 000 km,Avtomat,Xeyr
36 900 AZN,Hyundai,Tucson,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,180 000 km,Avtomat,Xeyr
37 800 AZN,Hyundai,Elantra,2021,Boz,1.6 L / 139 a.g. / Hibrid,46 000 km,Avtomat,Xeyr
44 800 USD,Hyundai,Santa Fe,2024,Ağ,1.6 L / 230 a.g. / Hibrid,4 500 km,Avtomat,Xeyr
33 900 AZN,Hyundai,Elantra,2023,Qara,1.6 L / 128 a.g. / Benzin,36 000 km,Avtomat,Xeyr
27 500 AZN,Hyundai,Creta,2019,Ağ,1.6 L / 123 a.g. / Benzin,172 900 km,Avtomat,Xeyr
84 900 AZN,Hyundai,Grandeur,2024,Qara,1.6 L / 230 a.g. / Hibrid,0 km,Avtomat,Bəli
