Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
24 800 AZN,Hyundai,Elantra,2019,Gümüşü,2.0 L / 150 a.g. / Benzin,108 000 km,Avtomat,Xeyr
131 000 USD,BMW,X7,2024,Qara,3.0 L / 381 a.g. / Benzin,0 km,Avtomat,Bəli
26 000 AZN,Kia,Forte,2020,Qırmızı,2.0 L / 147 a.g. / Benzin,55 000 km,Variator,Xeyr
47 900 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,143 000 km,Avtomat,Xeyr
47 900 USD,Mercedes,E 300 e,2021,Qara,2.0 L / 320 a.g. / Plug-in Hibrid,14 950 km,Avtomat,Xeyr
45 500 USD,Mercedes,E 300 e,2020,Boz,2.0 L / 320 a.g. / Plug-in Hibrid,43 000 km,Avtomat,Xeyr
259 999 USD,Mercedes,G 63 AMG,2022,Qara,4.0 L / 585 a.g. / Benzin,14 000 km,Avtomat,Xeyr
26 300 AZN,Kia,Cerato,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,52 000 km,Avtomat,Xeyr
27 800 AZN,Hyundai,Elantra,2021,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,96 000 km,Avtomat,Xeyr
50 500 USD,BMW,530e,2021,Göy,2.0 L / 292 a.g. / Plug-in Hibrid,39 500 km,Avtomat,Xeyr
59 500 USD,BMW,530e,2022,Ağ,2.0 L / 292 a.g. / Plug-in Hibrid,15 000 km,Avtomat,Xeyr
226 700 USD,Mercedes,G 63 AMG,2019,Qara,4.0 L / 585 a.g. / Benzin,6 181 km,Avtomat,Xeyr
73 800 USD,Mercedes,GLE 350 4MATIC,2021,Boz,2.0 L / 313 a.g. / Plug-in Hibrid,35 924 km,Avtomat,Xeyr
43 600 AZN,Kia,Sorento,2019,Yaş Asfalt,2.0 L / 200 a.g. / Dizel,149 154 km,Avtomat,Xeyr
58 900 USD,BMW,X5,2019,Boz,3.0 L / 340 a.g. / Benzin,64 000 km,Avtomat,Xeyr
129 700 USD,BMW,X7,2023,Qara,3.0 L / 381 a.g. / Benzin,3 000 km,Avtomat,Xeyr
28 000 AZN,Hyundai,Elantra,2019,Ağ,2.0 L / 150 a.g. / Benzin,136 794 km,Avtomat,Xeyr
26 500 AZN,Kia,Forte,2020,Qırmızı,2.0 L / 147 a.g. / Benzin,104 446 km,Variator,Xeyr
131 000 USD,BMW,X7,2024,Qara,3.0 L / 381 a.g. / Benzin,0 km,Avtomat,Bəli
71 000 USD,BMW,X5,2019,Yaş Asfalt,3.0 L / 340 a.g. / Benzin,99 500 km,Avtomat,Xeyr
32 800 AZN,Hyundai,Tucson,2019,Qara,2.0 L / 150 a.g. / Benzin,50 085 km,Avtomat,Xeyr
